YDL246C	SOR2	chrIV:8683-9756
YGL150C	INO80	chrVII:221104-225573
YGR134W	CAF130	chrVII:757770-761138
YGR095C	RRP46	chrVII:675671-676342
YGR214W	RPS0A	chrVII:920575-921788
YGR269W	YGR269W	chrVII:1026636-1026962
YGR176W	YGR176W	chrVII:848720-849067
YGL263W	COS12	chrVII:2790-3932
YGR057C	LST7	chrVII:604773-605501
YGL074C	YGL074C	chrVII:368596-368922
YGR007W	ECT1	chrVII:506969-507940
YGR241C	YAP1802	chrVII:974875-976581
YGR127W	YGR127W	chrVII:746798-747736
YGL219C	MDM34	chrVII:82878-84257
YGL061C	DUO1	chrVII:388968-389711
YGR083C	GCD2	chrVII:644860-646815
YGL038C	OCH1	chrVII:425362-426804
YGL047W	ALG13	chrVII:411552-412160
YGR244C	LSC2	chrVII:978036-979319
YGR289C	MAL11	chrVII:1073963-1075813
YGL089C	MF(ALPHA)2	chrVII:344791-345153
YGL180W	ATG1	chrVII:160065-162758
YGR146C	ECL1	chrVII:784223-784858
YGL149W	YGL149W	chrVII:225572-225877
YGL242C	YGL242C	chrVII:44652-45197
YGR106C	VOA1	chrVII:698989-699786
YGR004W	PEX31	chrVII:502938-504326
YGR209C	TRX2	chrVII:912913-913227
YGR052W	FMP48	chrVII:593596-594705
YGR158C	MTR3	chrVII:805269-806021
YGR003W	CUL3	chrVII:500132-502366
YGR219W	YGR219W	chrVII:936035-936376
YGL247W	BRR6	chrVII:36933-37526
YGR170W	PSD2	chrVII:837142-840558
YGR246C	BRF1	chrVII:982482-984272
YGL183C	MND1	chrVII:156543-157285
YGR160W	YGR160W	chrVII:807073-807684
YGR204C-A	YGR204C-A	chrVII:909061-909174
YGR039W	YGR039W	chrVII:574888-575199
YGL059W	PKP2	chrVII:392223-393698
YGL123W	RPS2	chrVII:277617-278381
YGL099W	LSG1	chrVII:314631-316553
YGR102C	GTF1	chrVII:694584-695135
YGL233W	SEC15	chrVII:59122-61854
YGL072C	YGL072C	chrVII:371003-371362
YGL056C	SDS23	chrVII:396035-397618
YGR104C	SRB5	chrVII:697445-698368
YGR240C	PFK1	chrVII:970771-973734
YGR243W	MPC3	chrVII:977336-977776
YGR275W	RTT102	chrVII:1043276-1043749
YGL088W	YGL088W	chrVII:345836-346201
YGR020C	VMA7	chrVII:526973-527329
YGR100W	MDR1	chrVII:690245-693097
YGR231C	PHB2	chrVII:952548-953480
YGR215W	RSM27	chrVII:922175-922507
YGR018C	YGR018C	chrVII:524365-524694
YGL152C	YGL152C	chrVII:216692-217369
YGL212W	VAM7	chrVII:91432-92382
YGL066W	SGF73	chrVII:377609-379582
YGL060W	YBP2	chrVII:390065-391990
YGL185C	YGL185C	chrVII:153167-154306
YGR145W	ENP2	chrVII:781767-783890
YGL011C	SCL1	chrVII:474489-475247
YGR147C	NAT2	chrVII:786054-786920
YGR036C	CAX4	chrVII:558149-558868
YGL122C	NAB2	chrVII:278946-280523
YGL261C	PAU11	chrVII:6290-6652
YGL041C	YGL041C	chrVII:419022-419225
YGR099W	TEL2	chrVII:687899-689965
YGR046W	TAM41	chrVII:584895-586052
YGL188C-A	YGL188C-A	chrVII:148824-148964
YGR216C	GPI1	chrVII:922633-924462
tG(UCC)G	SUF4	chrVII:779616-779687
YGR047C	TFC4	chrVII:586392-589469
YGR238C	KEL2	chrVII:966039-968687
YGR282C	BGL2	chrVII:1057783-1058724
YGL132W	YGL132W	chrVII:261580-261915
tA(AGC)G	tA(AGC)G	chrVII:774349-774421
YGR169C	PUS6	chrVII:834689-835903
YGR063C	SPT4	chrVII:617516-617824
YGR256W	GND2	chrVII:1004624-1006102
YGL036W	YGL036W	chrVII:428601-431330
YGR192C	TDH3	chrVII:882812-883810
YGL191W	COX13	chrVII:144808-145197
YGR051C	YGR051C	chrVII:592906-593229
YGR013W	SNU71	chrVII:514554-516416
YGR123C	PPT1	chrVII:736662-738203
YGL209W	MIG2	chrVII:95858-97006
YGL163C	RAD54	chrVII:193707-196403
YGR296C-A	YGR296C-A	chrVII:1088870-1089445
YGL178W	MPT5	chrVII:167352-170571
YGL092W	NUP145	chrVII:337906-341859
YGR132C	PHB1	chrVII:755589-756452
YGL208W	SIP2	chrVII:97338-98585
tL(GAG)G	tL(GAG)G	chrVII:700675-700756
YGR059W	SPR3	chrVII:607563-609101
YGR114C	YGR114C	chrVII:720265-720654
YGR128C	UTP8	chrVII:747950-750091
YGL246C	RAI1	chrVII:37617-38780
YGL190C	CDC55	chrVII:145809-147389
YGR033C	TIM21	chrVII:554248-554967
YGL112C	TAF6	chrVII:298178-299728
YGL001C	ERG26	chrVII:495453-496502
YGR168C	YGR168C	chrVII:833352-834482
YGL093W	SPC105	chrVII:334886-337639
YGR120C	COG2	chrVII:730033-730821
YGR027C	RPS25A	chrVII:534132-534458
YGL259W	YPS5	chrVII:8470-8967
YGR294W	PAU12	chrVII:1080306-1080668
YGR124W	ASN2	chrVII:739944-741662
YGL103W	RPL28	chrVII:310967-311927
YGL062W	PYC1	chrVII:385196-388732
YGR049W	SCM4	chrVII:591314-591877
snR39	snR39	chrVII:365163-365251
YGR076C	MRPL25	chrVII:637104-637577
YGL161C	YIP5	chrVII:199210-200142
YGR062C	COX18	chrVII:616328-617278
tV(AAC)G1	tV(AAC)G1	chrVII:412294-412367
YGL237C	HAP2	chrVII:52731-53528
YGR024C	THG1	chrVII:531883-532596
YGR184C	UBR1	chrVII:859901-865753
YGR292W	MAL12	chrVII:1076599-1078353
YGR151C	YGR151C	chrVII:794655-794990
YGL034C	YGL034C	chrVII:433214-433579
YGL067W	NPY1	chrVII:376101-377255
YGR072W	UPF3	chrVII:634304-635467
YGL229C	SAP4	chrVII:64503-66959
YGR055W	MUP1	chrVII:599417-601141
YGL044C	RNA15	chrVII:416146-417036
YGL054C	ERV14	chrVII:400871-401287
YGL119W	COQ8	chrVII:284442-285947
YGR068W-A	YGR068W-A	chrVII:626294-626389
YGR206W	MVB12	chrVII:910432-910737
YGR121W-A	YGR121W-A	chrVII:733412-733627
YGL130W	CEG1	chrVII:266145-267524
YGL042C	YGL042C	chrVII:418288-418593
YGR090W	UTP22	chrVII:662358-666071
YGR221C	TOS2	chrVII:937124-938992
YGR143W	SKN1	chrVII:775193-777508
tR(UCU)G1	tR(UCU)G1	chrVII:405470-405541
YGL218W	YGL218W	chrVII:83650-84300
YGL198W	YIP4	chrVII:123591-124298
YGL083W	SCY1	chrVII:353058-355472
tC(GCA)G	tC(GCA)G	chrVII:707108-707179
YGR071C	ENV11	chrVII:631481-634063
YGR259C	YGR259C	chrVII:1012481-1012921
YGR058W	PEF1	chrVII:606136-607143
YGL195W	GCN1	chrVII:131525-139543
YGL192W	IME4	chrVII:142246-144048
YGL206C	CHC1	chrVII:102543-107504
YGR060W	ERG25	chrVII:610564-611493
YGL257C	MNT2	chrVII:12481-14157
YGL236C	MTO1	chrVII:53787-55796
YGR138C	TPO2	chrVII:763762-765606
YGR015C	YGR015C	chrVII:521090-522076
YGL023C	PIB2	chrVII:450197-452104
YGL144C	ROG1	chrVII:232450-234507
YGL071W	AFT1	chrVII:372012-374084
tK(CUU)G3	tK(CUU)G3	chrVII:876394-876466
YGR080W	TWF1	chrVII:642010-643008
YGL116W	CDC20	chrVII:289809-291641
YGR035C	YGR035C	chrVII:557072-557422
YGL201C	MCM6	chrVII:117854-120907
YGR212W	SLI1	chrVII:917040-918446
YGR154C	GTO1	chrVII:796798-797868
YGL241W	KAP114	chrVII:45445-48459
YGL262W	YGL262W	chrVII:5312-5839
YGR247W	CPD1	chrVII:984966-985685
YGR199W	PMT6	chrVII:897502-899781
YGL260W	YGL260W	chrVII:6860-7090
YGR179C	OKP1	chrVII:853675-854895
YGR011W	YGR011W	chrVII:512497-512823
YGL111W	NSA1	chrVII:299978-301369
snR39B	snR39B	chrVII:366374-366469
YGR073C	YGR073C	chrVII:635615-635986
YGR155W	CYS4	chrVII:798543-800066
YGL114W	YGL114W	chrVII:293460-295637
YGL255W	ZRT1	chrVII:20978-22108
YGR066C	YGR066C	chrVII:620921-621799
YGR233C	PHO81	chrVII:954674-958210
YGR092W	DBF2	chrVII:668189-669907
YGL041W-A	YGL041W-A	chrVII:418825-419289
YGR171C	MSM1	chrVII:840824-842551
tW(CCA)G2	tW(CCA)G2	chrVII:878710-878815
YGL171W	ROK1	chrVII:182390-184084
YGL029W	CGR1	chrVII:440063-440425
YGR040W	KSS1	chrVII:575398-576504
YGR220C	MRPL9	chrVII:936074-936883
YGR268C	HUA1	chrVII:1026057-1026653
YGL147C	RPL9A	chrVII:227754-228329
tK(CUU)G1	tK(CUU)G1	chrVII:122269-122341
YGR144W	THI4	chrVII:780399-781379
YGR178C	PBP1	chrVII:851047-853215
YGR113W	DAM1	chrVII:718893-719924
YGL203C	KEX1	chrVII:112475-114664
YGL048C	RPT6	chrVII:410069-411286
YGR207C	CIR1	chrVII:910843-911628
YGR258C	RAD2	chrVII:1007671-1010766
YGL091C	NBP35	chrVII:342056-343042
YGR093W	DRN1	chrVII:670388-671911
YGR119C	NUP57	chrVII:728046-729671
YGR213C	RTA1	chrVII:918512-919465
YGR061C	ADE6	chrVII:611889-615965
YGL182C	YGL182C	chrVII:157273-157596
YGR139W	YGR139W	chrVII:765726-766064
YGR121C	MEP1	chrVII:731449-732927
YGL043W	DST1	chrVII:417483-418412
YGR280C	PXR1	chrVII:1050910-1051725
YGL085W	LCL3	chrVII:349616-350440
YGL031C	RPL24A	chrVII:437467-437934
YGR117C	YGR117C	chrVII:725049-726479
YGR254W	ENO1	chrVII:1000927-1002240
YGR235C	YGR235C	chrVII:961360-962061
YGL124C	MON1	chrVII:274780-276714
YGR236C	SPG1	chrVII:962530-962817
YGL164C	YRB30	chrVII:191978-193300
YGR293C	YGR293C	chrVII:1079885-1080346
tL(CAA)G1	tL(CAA)G1	chrVII:205521-205634
YGR264C	MES1	chrVII:1019598-1021853
YGL234W	"ADE5,7"	chrVII:56482-58890
YGL109W	YGL109W	chrVII:303513-303836
YGL238W	CSE1	chrVII:49552-52434
YGL041C-B	YGL041C-B	chrVII:418704-418886
YGR056W	RSC1	chrVII:601661-604447
YGR201C	YGR201C	chrVII:902520-903197
YGR239C	PEX21	chrVII:969187-970053
YGR169C-A	YGR169C-A	chrVII:836387-836665
YGR185C	TYS1	chrVII:866336-867520
YGR189C	CRH1	chrVII:876669-878192
YGR022C	YGR022C	chrVII:529257-529586
YGR290W	YGR290W	chrVII:1075482-1075925
YGL205W	POX1	chrVII:108158-110404
tK(CUU)G2	tK(CUU)G2	chrVII:185714-185786
YGL221C	NIF3	chrVII:81426-82292
YGL108C	YGL108C	chrVII:303649-304071
YGL069C	YGL069C	chrVII:375050-375514
YGL135W	RPL1B	chrVII:254641-255294
YGR253C	PUP2	chrVII:998358-999140
YGL053W	PRM8	chrVII:402589-403302
YGL101W	YGL101W	chrVII:312193-312840
YGR271C-A	EFG1	chrVII:1037800-1038501
YGR267C	FOL2	chrVII:1025004-1025735
YGR234W	YHB1	chrVII:959904-961103
YGL251C	HFM1	chrVII:27921-31636
YGL141W	HUL5	chrVII:238353-241085
YGL245W	GUS1	chrVII:39023-41149
YGL007W	BRP1	chrVII:483260-483637
YGL005C	COG7	chrVII:489708-490547
YGL215W	CLG1	chrVII:87981-89339
YGR173W	RBG2	chrVII:843854-844960
YGL249W	ZIP2	chrVII:33098-35212
YGR161W-C	YGR161W-C	chrVII:810227-810505
YGR229C	SMI1	chrVII:949382-950899
YGR070W	ROM1	chrVII:627806-631273
YGR135W	PRE9	chrVII:761392-762168
YGL014C-A	YGL014C-A	chrVII:466237-466398
YGR225W	AMA1	chrVII:945145-947019
YGL258W	VEL1	chrVII:11110-11730
tT(UGU)G1	tT(UGU)G1	chrVII:661749-661820
YGL139W	FLC3	chrVII:245716-248124
YGL172W	NUP49	chrVII:180700-182118
YGR088W	CTT1	chrVII:654634-656322
YGL126W	SCS3	chrVII:270997-272139
YGR140W	CBF2	chrVII:767429-770299
YGR129W	SYF2	chrVII:750400-751047
YGL027C	CWH41	chrVII:443642-446143
tL(CAA)G2	SUP54	chrVII:423092-423205
YGL231C	EMC4	chrVII:63048-63620
YGL019W	CKB1	chrVII:458156-458992
tR(UCU)G3	tR(UCU)G3	chrVII:736340-736411
YGR017W	YGR017W	chrVII:523787-524680
YGR107W	YGR107W	chrVII:702667-703116
YGL039W	YGL039W	chrVII:423961-425007
tL(CAA)G3	tL(CAA)G3	chrVII:857378-857491
YGL123C-A	YGL123C-A	chrVII:277634-277864
YGL002W	ERP6	chrVII:494517-495167
YGR044C	RME1	chrVII:582990-583892
YGR193C	PDX1	chrVII:884509-885741
YGL033W	HOP2	chrVII:435625-436401
YGR165W	MRPS35	chrVII:829116-830153
YGL030W	RPL30	chrVII:439091-439638
YGL128C	CWC23	chrVII:269293-270144
YGL063C-A	YGL063C-A	chrVII:384502-384651
YGL007C-A	YGL007C-A	chrVII:482941-483027
YGL175C	SAE2	chrVII:173285-174322
YGL223C	COG1	chrVII:79112-80365
YGR190C	YGR190C	chrVII:880296-880661
YGL004C	RPN14	chrVII:490703-491956
YGL148W	ARO2	chrVII:226399-227529
YGR281W	YOR1	chrVII:1052824-1057257
tH(GUG)G2	tH(GUG)G2	chrVII:319781-319852
tF(GAA)G	tF(GAA)G	chrVII:440716-440807
YGR078C	PAC10	chrVII:639772-640371
YGL133W	ITC1	chrVII:257707-261501
tV(AAC)G2	tV(AAC)G2	chrVII:823482-823555
YGR295C	COS6	chrVII:1081584-1082729
YGR048W	UFD1	chrVII:589826-590911
YGR065C	VHT1	chrVII:618077-619858
YGL051W	MST27	chrVII:403687-404391
YGL220W	YGL220W	chrVII:82374-82736
YGR019W	UGA1	chrVII:525229-526644
YGL010W	MPO1	chrVII:475545-476069
YGL090W	LIF1	chrVII:343319-344584
YGR054W	YGR054W	chrVII:596693-598621
YGR174W-A	YGR174W-A	chrVII:846655-846741
YGL032C	AGA2	chrVII:436570-436833
tE(UUC)G2	tE(UUC)G2	chrVII:401527-401598
YGL179C	TOS3	chrVII:163409-165091
tE(UUC)G3	tE(UUC)G3	chrVII:541850-541921
YGR002C	SWC4	chrVII:498476-499906
YGL134W	PCL10	chrVII:255663-256964
YGL235W	YGL235W	chrVII:55279-55815
YGL006W	PMC1	chrVII:485921-489442
YGR028W	MSP1	chrVII:542203-543291
YGR283C	YGR283C	chrVII:1059015-1060040
YGR249W	MGA1	chrVII:988049-989419
snR82	snR82	chrVII:316788-317055
snR7-L	snR7-L	chrVII:939459-939672
YGL232W	TAN1	chrVII:62075-63002
YGL157W	ARI1	chrVII:209006-210049
YGL118C	YGL118C	chrVII:288014-288451
YGR012W	MCY1	chrVII:513159-514340
YGR242W	YGR242W	chrVII:976415-976723
YGR014W	MSB2	chrVII:516943-520863
YGR038C-A	YGR038C-A	chrVII:566145-567467
YGR161W	YGR161C-C	chrVII:821693-823015
YGR027W-A	YGR027W-A	chrVII:536057-537379
YGR109W-A	YGR109W-A	chrVII:707610-708482
YGR027W-B	YGR027W-B	chrVII:536057-541325
YGR038C-B	YGR038C-B	chrVII:562199-567467
YGR161C-D	YGR161C-D	chrVII:817747-823015
YGR161W-A	YGR161W-A	chrVII:811738-813054
YGR109W-B	YGR109W-B	chrVII:707610-712254
YGR161W-B	YGR161W-B	chrVII:811738-817051
YLL050C	COF1	chrXII:39804-40414
YLL032C	YLL032C	chrXII:74270-76747
YLR466W	YRF1-4	chrXII:1067087-1071235
YLR054C	OSW2	chrXII:248717-250978
YLR437C	DIF1	chrXII:1011622-1012023
YLR217W	YLR217W	chrXII:572909-573232
YLL056C	YLL056C	chrXII:27409-28305
YLR128W	DCN1	chrXII:398530-399433
YLR279W	YLR279W	chrXII:704309-704698
YLR075W	RPL10	chrXII:282927-283592
YLR052W	IES3	chrXII:247201-247953
YLR159C-A	YLR159C-A	chrXII:485711-485842
YLR025W	SNF7	chrXII:194452-195174
YLR049C	YLR049C	chrXII:243886-245172
YLR308W	CDA2	chrXII:747937-748875
YLR032W	RAD5	chrXII:204991-208500
ETS2-2	ETS2-2	chrXII:460712-460922
YLR251W	SYM1	chrXII:641464-642057
YLR321C	SFH1	chrXII:776584-777864
YLR327C	TMA10	chrXII:783127-783387
YLR154C-H	YLR154C-H	chrXII:468827-468958
YLR247C	IRC20	chrXII:628684-633354
YLR167W	RPS31	chrXII:498947-499405
YLR220W	CCC1	chrXII:576825-577793
YLR455W	PDP3	chrXII:1053629-1054543
YLR282C	YLR282C	chrXII:705071-705412
YLR094C	GIS3	chrXII:327730-329238
YLR272C	YCS4	chrXII:683672-687202
YLR264C-A	YLR264C-A	chrXII:673828-673944
YLR338W	OPI9	chrXII:804346-805203
YLR181C	VTA1	chrXII:516678-517670
YLR458W	YLR458W	chrXII:1056455-1056835
YLR180W	SAM1	chrXII:515262-516410
YLR250W	SSP120	chrXII:640317-641021
YLR222C-A	YLR222C-A	chrXII:582006-582236
YLR424W	SPP382	chrXII:973395-975521
YLR253W	MCP2	chrXII:642627-644336
YLR390W-A	CCW14	chrXII:903724-904440
YLR233C	EST1	chrXII:607425-609524
YLR347W-A	YLR347W-A	chrXII:824789-824929
YLR117C	CLF1	chrXII:382471-384534
YLR110C	CCW12	chrXII:369697-370098
YLR072W	LAM6	chrXII:278862-280943
YLR069C	MEF1	chrXII:271630-273915
YLR403W	SFP1	chrXII:925568-927619
YLR008C	PAM18	chrXII:165577-166083
YLR231C	BNA5	chrXII:605758-607119
YLR264W	RPS28B	chrXII:673131-673334
YLR164W	SHH4	chrXII:493883-494389
YLR079W	SIC1	chrXII:286820-287674
YLR103C	CDC45	chrXII:343989-345941
YLR170C	APS1	chrXII:500579-501049
YLR228C	ECM22	chrXII:600019-602463
YLL036C	PRP19	chrXII:66745-68256
YLR467C-A	YLR467C-A	chrXII:1077050-1077532
YLR198C	YLR198C	chrXII:547286-547645
snR61	snR61	chrXII:794486-794575
YLR411W	CTR3	chrXII:947253-947978
YLR056W	ERG3	chrXII:253861-254958
YLR429W	CRN1	chrXII:990777-992732
YLL060C	GTT2	chrXII:21138-21839
YLR310C	CDC25	chrXII:752224-756993
YLR342W	FKS1	chrXII:809997-815627
YLR017W	MEU1	chrXII:177608-178621
tL(UAG)L2	tL(UAG)L2	chrXII:732090-732190
YLR304C	ACO1	chrXII:735212-737548
YLL052C	AQY2	chrXII:35912-36361
YLR027C	AAT2	chrXII:196829-198085
YLR214W	FRE1	chrXII:568567-570627
ITS2-2	ITS2-2	chrXII:464319-464550
YLL062C	MHT1	chrXII:16639-17613
YLR378C	SEC61	chrXII:875736-877178
YLR023C	IZH3	chrXII:185498-187129
YLR425W	TUS1	chrXII:982894-986817
YLR073C	RFU1	chrXII:281019-281621
YLL008W	DRS1	chrXII:131729-133987
YLL063C	AYT1	chrXII:14648-16072
YLR449W	FPR4	chrXII:1030834-1032012
YLL046C	RNP1	chrXII:46714-47463
YLR089C	ALT1	chrXII:318237-320015
RDN18-1	RDN18-1	chrXII:455933-457732
YLR020C	YEH2	chrXII:181789-183405
YLR190W	MMR1	chrXII:535214-536689
YLR045C	STU2	chrXII:235037-237703
YLR285W	NNT1	chrXII:707360-708145
YLR322W	VPS65	chrXII:777628-777942
YLR276C	DBP9	chrXII:695046-696830
YLR346C	CIS1	chrXII:822287-822592
YLR156W	YLR156W	chrXII:472113-472457
YLR135W	SLX4	chrXII:413281-415527
YLR261C	VPS63	chrXII:668237-668563
YLL066C	YLL066C	chrXII:6120-9836
YLR077W	FMP25	chrXII:283872-285623
YLR144C	ACF2	chrXII:429677-432016
YLR414C	PUN1	chrXII:953353-954144
YLR030W	YLR030W	chrXII:203290-204081
YLR301W	HRI1	chrXII:730825-731559
YLR252W	YLR252W	chrXII:641957-642262
YLR427W	MAG2	chrXII:988428-990440
YLR200W	YKE2	chrXII:549012-549356
YLR150W	STM1	chrXII:440467-441288
YLL021W	SPA2	chrXII:100947-105347
YLR078C	BOS1	chrXII:285736-286559
YLR153C	ACS2	chrXII:445524-447575
YLR404W	YLR404W	chrXII:928743-929600
YLR014C	PPR1	chrXII:172268-174982
YLL005C	SPO75	chrXII:137940-140546
tQ(UUG)L	tQ(UUG)L	chrXII:448650-448721
YLR262C	YPT6	chrXII:668244-668891
YLR296W	YLR296W	chrXII:722978-723304
YLR234W	TOP3	chrXII:609783-611753
YLR096W	KIN2	chrXII:332590-336033
YLR271W	CMG1	chrXII:682737-683561
YLR033W	RSC58	chrXII:208761-210269
YLR278C	YLR278C	chrXII:699999-704024
YLL055W	YCT1	chrXII:30109-31704
YLR266C	PDR8	chrXII:675619-677724
YLL030C	RRT7	chrXII:80356-80697
YLR323C	CWC24	chrXII:778173-778952
YLR007W	NSE1	chrXII:164392-165402
YLR406C-A	YLR406C-A	chrXII:932206-932355
YLL015W	BPT1	chrXII:116432-121111
YLR343W	GAS2	chrXII:816094-817761
YLR269C	YLR269C	chrXII:680866-681216
tN(GUU)L	tN(GUU)L	chrXII:975983-976056
YLR210W	CLB4	chrXII:562008-563390
YLR058C	SHM2	chrXII:257992-259401
YLR145W	RMP1	chrXII:432168-432773
YLR080W	EMP46	chrXII:287916-289250
YLR443W	ECM7	chrXII:1022625-1023971
YLR325C	RPL38	chrXII:781143-781379
YLL006W	MMM1	chrXII:136586-137866
YLR074C	BUD20	chrXII:281956-282456
RDN5-5	RDN5-5	chrXII:485697-485815
YLR311C	YLR311C	chrXII:757265-757612
YLR191W	PEX13	chrXII:537272-538432
YLR235C	YLR235C	chrXII:611532-611930
YLR364C-A	YLR364C-A	chrXII:855523-855645
ITS2-1	ITS2-1	chrXII:455182-455413
YLR288C	MEC3	chrXII:713480-714904
YLL001W	DNM1	chrXII:147890-150163
YLR409C	UTP21	chrXII:934414-937233
YLR099C	ICT1	chrXII:339744-340928
YLR131C	ACE2	chrXII:404510-406822
YLR362W	STE11	chrXII:849866-852019
YLR256W	HAP1	chrXII:646415-650923
YLR068W	FYV7	chrXII:271008-271463
YLR101C	YLR101C	chrXII:342566-342961
YLR341W	SPO77	chrXII:807385-808818
YLL054C	YLL054C	chrXII:32673-35204
YLR186W	EMG1	chrXII:523632-524390
YLR143W	DPH6	chrXII:427329-429386
YLR368W	MDM30	chrXII:857540-859336
YLR393W	ATP10	chrXII:907079-907918
YLR176C	RFX1	chrXII:507797-510232
YLR126C	YLR126C	chrXII:394765-395520
YLR099W-A	MIM2	chrXII:341325-341588
YLR423C	ATG17	chrXII:971917-973170
YLR357W	RSC2	chrXII:841331-844000
YLR197W	NOP56	chrXII:546097-547611
ETS1-1	ETS1-1	chrXII:457733-458432
YLR187W	SKG3	chrXII:524865-527945
RDN5-2	RDN5-2	chrXII:468813-468931
YLL034C	RIX7	chrXII:70633-73146
YLL023C	POM33	chrXII:97997-98836
YLR065C	ENV10	chrXII:266373-266918
YLL031C	GPI13	chrXII:77152-80205
YLR419W	YLR419W	chrXII:958428-962735
YLR149C-A	YLR149C-A	chrXII:440370-440456
YLR294C	YLR294C	chrXII:721701-722030
YLR405W	DUS4	chrXII:929789-930892
YLR157C-C	YLR157C-C	chrXII:482059-482190
YLR463C	YLR463C	chrXII:1066265-1066816
YLR026C	SED5	chrXII:195450-196472
YLR267W	BOP2	chrXII:678212-679924
YLR093C	NYV1	chrXII:326513-327415
YLR085C	ARP6	chrXII:300673-301989
YLR246W	ERF2	chrXII:627118-628197
YLR433C	CNA1	chrXII:1004347-1006008
YLR227C	ADY4	chrXII:590562-592043
YLR012C	YLR012C	chrXII:169982-170281
YLR111W	YLR111W	chrXII:370391-370723
YLR152C	YLR152C	chrXII:442958-444688
YLR370C	ARC18	chrXII:861718-862254
YLL026W	HSP104	chrXII:88623-91349
YLR289W	GUF1	chrXII:715089-717026
YLL066W-B	YLL066W-B	chrXII:5605-5775
YLR114C	AVL9	chrXII:374944-377238
YLR213C	CRR1	chrXII:566654-567922
YLR146C	SPE4	chrXII:432823-433725
YLR445W	GMC2	chrXII:1024189-1024837
RDN18-2	RDN18-2	chrXII:465070-466869
YLR169W	YLR169W	chrXII:500335-500688
YLR202C	YLR202C	chrXII:550194-550636
YLL053C	YLL053C	chrXII:35503-35961
YLR333C	RPS25B	chrXII:795573-795899
YLR082C	SRL2	chrXII:292394-293572
YLR193C	UPS1	chrXII:540009-540536
YLL043W	FPS1	chrXII:49938-51947
YLR337C	VRP1	chrXII:802653-805106
YLL066W-A	YLL066W-A	chrXII:6486-6968
YLR039C	RIC1	chrXII:225426-228596
YLR457C	NBP1	chrXII:1055812-1056771
YLR377C	FBP1	chrXII:873746-874792
YLR104W	LCL2	chrXII:346585-346980
YLR319C	BUD6	chrXII:769318-771684
YLR184W	YLR184W	chrXII:522106-522453
YLR317W	YLR317W	chrXII:765655-766089
YLL003W	SFI1	chrXII:143201-146041
YLR004C	THI73	chrXII:157934-159505
YLR407W	YLR407W	chrXII:932967-933653
YLR336C	SGD1	chrXII:799697-802396
YLR430W	SEN1	chrXII:993434-1000129
YLR436C	ECM30	chrXII:1007421-1011245
YLR347C	KAP95	chrXII:823828-826413
YLR324W	PEX30	chrXII:779215-780786
tV(AAC)L	tV(AAC)L	chrXII:687859-687932
YLR460C	YLR460C	chrXII:1059757-1060887
YLR113W	HOG1	chrXII:371620-372927
YLR046C	YLR046C	chrXII:238001-238813
YLR125W	YLR125W	chrXII:393484-393894
YLR196W	PWP1	chrXII:543968-545698
YLR363W-A	YLR363W-A	chrXII:853461-853718
YLL061W	MMP1	chrXII:17956-19707
YLR119W	SRN2	chrXII:385534-386175
snR57	snR57	chrXII:794937-795024
YLL020C	YLL020C	chrXII:105556-105861
YLR163C	MAS1	chrXII:491866-493254
YLL014W	EMC6	chrXII:121322-121648
YLR129W	DIP2	chrXII:399657-402488
tD(GUC)L2	tD(GUC)L2	chrXII:793918-793989
YLR173W	YLR173W	chrXII:502421-504247
YLR090W	XDJ1	chrXII:320701-322080
YLR286W-A	YLR286W-A	chrXII:708562-708696
snR55	snR55	chrXII:794697-794794
YLR259C	HSP60	chrXII:663284-665002
YLR219W	MSC3	chrXII:574151-576337
YLR401C	DUS3	chrXII:922442-924448
YLL058W	YLL058W	chrXII:23569-25296
YLR177W	YLR177W	chrXII:511054-512940
YLR415C	YLR415C	chrXII:954259-954597
YLR467W	YRF1-5	chrXII:1072508-1077898
YLR302C	YLR302C	chrXII:732191-732553
YLR185W	RPL37A	chrXII:522663-523288
YLR060W	FRS1	chrXII:260979-262766
YLR313C	SPH1	chrXII:760750-762342
YLR303W	MET17	chrXII:732542-733876
YLR154W-B	YLR154W-B	chrXII:454392-454556
YLL029W	FRA1	chrXII:81461-83710
YLL047W	YLL047W	chrXII:46672-47055
YLR285C-A	YLR285C-A	chrXII:708168-708338
YLR001C	YLR001C	chrXII:151389-153977
snR79	snR79	chrXII:348427-348510
YLR465C	BSC3	chrXII:1067045-1067353
YLR015W	BRE2	chrXII:175227-176744
YLR432W	IMD3	chrXII:1002557-1004128
YLR081W	GAL2	chrXII:290212-291936
YLR166C	SEC10	chrXII:495429-498044
YLR383W	SMC6	chrXII:885288-888632
YLR035C	MLH2	chrXII:212369-214456
YLR044C	PDC1	chrXII:232390-234081
YLR293C	GSP1	chrXII:720771-721430
YLR399W-A	YLR399W-A	chrXII:920869-920973
YLR192C	HCR1	chrXII:538792-539589
YLR300W	EXG1	chrXII:728955-730301
YLR098C	CHA4	chrXII:337527-339473
YLR448W	RPL6B	chrXII:1028854-1029768
YLR381W	CTF3	chrXII:879723-881924
YLR280C	YLR280C	chrXII:704483-704833
snR44	snR44	chrXII:856710-856920
YLR367W	RPS22B	chrXII:856442-857317
YLR309C	IMH1	chrXII:749034-751769
YLR299W	ECM38	chrXII:726069-728051
YLR224W	UCC1	chrXII:586464-587573
YLR029C	RPL15A	chrXII:201976-202590
